t (s),Vnoisy raw(cm/s)
0.432,9.713234906
0.433,11.73337325
0.434,9.753501535
0.435,9.773619754
0.436,9.793727917
0.437,9.813826028
0.438,10.83391409
0.439,10.85399212
0.44,9.874060102
0.441,9.894118057
0.442,10.91416599
0.443,11.93420389
0.444,9.954231783
0.445,9.974249662
0.446,9.994257535
0.447,10.01425541
0.448,10.03424328
0.449,10.05422117
0.45,10.07418906
0.451,11.09414698
0.452,10.11409492
0.453,10.13403288
0.454,11.15396089
0.455,10.17387893
0.456,12.19378701
0.457,10.21368514
0.458,13.23357332
0.459,10.25345157
0.46,10.27331987
0.461,10.29317825
0.462,10.3130267
0.463,10.33286522
0.464,10.35269383
0.465,10.37251253
0.466,10.39232132
0.467,12.41212021
0.468,11.43190921
0.469,13.45168831
0.47,12.47145752
0.471,12.49121685
0.472,13.5109663
0.473,10.53070588
0.474,12.5504356
0.475,10.57015545
0.476,10.58986545
0.477,10.60956559
0.478,10.62925588
0.479,11.64893633
0.48,10.66860695
0.481,12.68826773
0.482,10.70791868
0.483,10.72755981
0.484,10.74719112
0.485,10.76681262
0.486,12.78642431
0.487,13.8060262
0.488,10.82561829
0.489,10.84520058
0.49,10.86477309
0.491,10.88433581
0.492,10.90388875
0.493,10.92343192
0.494,12.94296532
0.495,10.96248896
0.496,10.98200284
0.497,11.00150696
0.498,11.02100133
0.499,14.04048596
0.5,11.05996085
0.501,11.079426
0.502,13.09888142
0.503,11.11832712
0.504,11.1377631
0.505,11.15718936
0.506,11.17660591
0.507,11.19601275
0.508,11.2154099
0.509,12.23479735
0.51,11.2541751
0.511,11.27354317
0.512,11.29290156
0.513,12.31225027
0.514,14.33158931
0.515,11.35091868
0.516,13.37023839
0.517,11.38954845
0.518,11.40884885
0.519,11.4281396
0.52,13.44742071
0.521,11.46669218
0.522,11.48595402
0.523,11.50520623
0.524,11.52444881
0.525,12.54368178
0.526,11.56290513
0.527,13.58211888
0.528,11.60132302
0.529,11.62051756
0.53,12.6397025
0.531,11.65887786
0.532,14.67804362
0.533,13.69719981
0.534,13.71634643
0.535,11.73548347
0.536,14.75461094
0.537,13.77372886
0.538,11.79283722
0.539,11.81193602
0.54,11.83102528
0.541,11.850105
0.542,14.86917518
0.543,11.88823583
0.544,13.90728695
0.545,14.92632854
0.546,11.94536062
0.547,11.96438318
0.548,11.98339624
0.549,12.00239979
0.55,14.02139384
0.551,15.0403784
0.552,14.05935346
0.553,14.07831904
0.554,12.09727514
0.555,12.11622177
0.556,12.13515892
0.557,15.15408661
0.558,12.17300484
0.559,15.19191361
0.56,13.21081293
0.561,12.2297028
0.562,12.24858323
0.563,12.26745422
0.564,12.28631577
0.565,14.3051679
0.566,14.32401061
0.567,12.34284389
0.568,14.36166776
0.569,12.38048223
0.57,12.39928728
0.571,12.41808294
0.572,12.4368692
0.573,12.45564607
0.574,12.47441356
0.575,12.49317166
0.576,12.51192039
0.577,12.53065974
0.578,12.54938973
0.579,12.56811035
0.58,15.58682162
0.581,12.60552353
0.582,12.6242161
0.583,13.64289932
0.584,13.6615732
0.585,14.68023775
0.586,12.69889297
0.587,15.71753886
0.588,13.73617543
0.589,12.75480268
0.59,12.77342063
0.591,13.79202926
0.592,12.8106286
0.593,12.82921864
0.594,12.84779938
0.595,12.86637084
0.596,14.88493301
0.597,12.90348591
0.598,12.92202953
0.599,14.94056388
0.6,12.95908897
0.601,14.97760479
0.602,15.99611136
0.603,13.01460868
0.604,13.03309676
0.605,13.05157559
0.606,15.07004518
0.607,13.08850554
0.608,14.10695668
0.609,15.12539859
0.61,13.14383128
0.611,13.16225476
0.612,14.18066903
0.613,15.19907409
0.614,13.21746995
0.615,13.23585662
0.616,13.2542341
0.617,13.27260239
0.618,15.2909615
0.619,13.30931143
0.62,13.32765219
0.621,13.34598378
0.622,13.36430621
0.623,13.38261947
0.624,16.40092359
0.625,13.41921855
0.626,13.43750437
0.627,13.45578105
0.628,16.47404859
0.629,13.492307
0.63,14.51055629
0.631,13.52879645
0.632,14.54702749
0.633,13.56524942
0.634,16.58346224
0.635,13.60166596
0.636,13.61986058
0.637,13.6380461
0.638,13.65622253
0.639,13.67438988
0.64,13.69254815
0.641,13.71069733
0.642,13.72883745
0.643,13.7469685
0.644,16.76509048
0.645,14.78320341
0.646,13.80130728
0.647,13.8194021
0.648,16.83748788
0.649,13.85556462
0.65,13.87363232
0.651,13.89169099
0.652,15.90974063
0.653,13.92778125
0.654,13.94581285
0.655,13.96383544
0.656,13.98184901
0.657,13.99985359
0.658,14.01784916
0.659,14.03583574
0.66,17.05381333
0.661,14.07178193
0.662,14.08974155
0.663,15.10769219
0.664,14.12563386
0.665,15.14356656
0.666,14.16149029
0.667,14.17940507
0.668,15.19731089
0.669,14.21520776
0.67,14.23309568
0.671,17.25097466
0.672,14.26884471
0.673,15.28670582
0.674,17.304558
0.675,17.32240126
0.676,14.34023561
0.677,14.35806103
0.678,15.37587755
0.679,14.39368515
0.68,14.41148386
0.681,14.42927367
0.682,14.44705459
0.683,15.46482662
0.684,15.48258976
0.685,14.50034403
0.686,14.51808942
0.687,14.53582594
0.688,14.5535536
0.689,15.57127239
0.69,14.58898233
0.691,14.60668341
0.692,14.62437564
0.693,16.64205904
0.694,14.65973359
0.695,14.6773993
0.696,17.69505619
0.697,14.71270425
0.698,15.73034349
0.699,14.74797391
0.7,14.76559551
0.701,14.78320831
0.702,14.80081231
0.703,15.8184075
0.704,14.8359939
0.705,14.85357151
0.706,17.87114033
0.707,15.88870037
0.708,14.90625163
0.709,14.92379412
0.71,14.94132784
0.711,14.95885279
0.712,14.97636899
0.713,17.99387643
0.714,15.01137511
0.715,15.02886505
0.716,15.04634625
0.717,17.06381871
0.718,18.08128243
0.719,15.09873743
0.72,15.1161837
0.721,17.13362124
0.722,17.15105008
0.723,15.1684702
0.724,18.18588161
0.725,15.20328432
0.726,15.22067833
0.727,17.23806364
0.728,15.25544026
0.729,17.2728082
0.73,15.29016746
0.731,15.30751803
0.732,18.32485994
0.733,15.34219318
0.734,15.35951775
0.735,17.37683366
0.736,17.39414092
0.737,18.41143952
0.738,15.42872948
0.739,16.44601079
0.74,16.46328347
0.741,15.48054751
0.742,15.49780292
0.743,17.51504971
0.744,15.53228787
0.745,16.54951742
0.746,15.56673836
0.747,17.58395069
0.748,15.60115441
0.749,15.61834953
0.75,18.63553606
0.751,15.652714
0.752,15.66988335
0.753,15.68704412
0.754,16.70419631
0.755,17.72133992
0.756,15.73847497
0.757,15.75560145
0.758,15.77271937
0.759,15.78982873
0.76,16.80692954
0.761,15.8240218
0.762,15.84110552
0.763,18.8581807
0.764,18.87524734
0.765,17.89230545
0.766,16.90935504
0.767,15.9263961
0.768,15.94342864
0.769,15.96045267
0.77,15.97746819
0.771,15.9944752
0.772,17.01147372
0.773,16.02846373
0.774,18.04544525
0.775,16.06241829
0.776,16.07938284
0.777,17.09633891
0.778,19.1132865
0.779,19.13022562
0.78,17.14715628
0.781,16.16407847
0.782,16.1809922
0.783,16.19789748
0.784,16.2147943
0.785,16.23168268
0.786,16.24856262
0.787,18.26543412
0.788,16.28229719
0.789,16.29915183
0.79,17.31599804
0.791,16.33283583
0.792,16.3496652
0.793,17.36648616
0.794,19.38329872
0.795,16.40010287
0.796,16.41689862
0.797,19.43368597
0.798,16.45046493
0.799,16.46723551
0.8,16.4839977
0.801,16.50075151
0.802,16.51749695
0.803,16.53423402
0.804,18.55096272
0.805,16.56768305
0.806,19.58439503
0.807,16.60109866
0.808,16.61779394
0.809,19.63448087
0.81,19.65115946
0.811,18.66782971
0.812,16.68449163
0.813,18.70114522
0.814,16.71779048
0.815,16.73442743
0.816,16.75105606
0.817,16.76767638
0.818,16.78428838
0.819,16.80089209
0.82,17.81748749
0.821,18.8340746
0.822,16.85065342
0.823,16.86722395
0.824,19.8837862
0.825,17.90034017
0.826,16.91688586
0.827,16.93342328
0.828,16.94995244
0.829,18.96647333
0.83,16.98298596
0.831,16.99949035
0.832,17.01598648
0.833,17.03247436
0.834,17.048954
0.835,17.06542541
0.836,18.08188858
0.837,17.09834352
0.838,18.11479024
0.839,18.13122873
0.84,17.14765901
0.841,20.16408107
0.842,17.18049493
0.843,17.19690058
0.844,17.21329803
0.845,20.22968728
0.846,17.24606834
0.847,17.26244122
0.848,17.2788059
0.849,17.29516241
0.85,17.31151074
0.851,17.3278509
0.852,17.34418289
0.853,19.36050672
0.854,19.37682239
0.855,17.3931299
0.856,18.40942926
0.857,17.42572047
0.858,17.44200354
0.859,17.45827847
0.86,17.47454526
0.861,17.49080393
0.862,17.50705446
0.863,19.52329687
0.864,17.53953117
0.865,20.55575734
0.866,17.57197541
0.867,20.58818537
0.868,17.60438723
0.869,17.62058098
0.87,17.63676665
0.871,20.65294422
0.872,17.6691137
0.873,17.68527511
0.874,17.70142843
0.875,17.71757368
0.876,20.73371086
0.877,17.74983997
0.878,20.76596102
0.879,19.78207401
0.88,17.79817895
0.881,17.81427583
0.882,17.83036467
0.883,19.84644547
0.884,17.86251823
0.885,17.87858295
0.886,19.89463965
0.887,17.91068831
0.888,19.92672896
0.889,17.94276159
0.89,18.9587862
0.891,17.9748028
0.892,17.9908114
0.893,18.00681199
0.894,20.02280459
0.895,18.03878919
0.896,18.0547658
0.897,19.07073442
0.898,18.08669507
0.899,18.10264773
0.9,18.11859242
0.901,21.13452914
0.902,20.15045789
0.903,20.16637868
0.904,20.18229151
0.905,18.19819639
0.906,19.21409332
0.907,18.2299823
0.908,18.24586334
0.909,20.26173644
0.91,18.2776016
0.911,18.29345884
0.912,18.30930815
0.913,21.32514953
0.914,21.340983
0.915,18.35680855
0.916,19.37262619
0.917,18.38843592
0.918,19.40423776
0.919,18.42003169
0.92,18.43581772
0.921,21.45159587
0.922,18.46736613
0.923,20.48312851
0.924,21.498883
0.925,18.51462962
0.926,18.53036837
0.927,18.54609926
0.928,18.56182228
0.929,18.57753744
0.93,20.59324474
0.931,18.60894419
0.932,18.6246358
0.933,21.64031956
0.934,18.65599548
0.935,19.67166356
0.936,18.68732382
0.937,18.70297624
0.938,20.71862084
0.939,18.73425762
0.94,19.74988659
0.941,20.76550774
0.942,18.78112108
0.943,18.79672662
0.944,18.81232435
0.945,18.82791429
0.946,19.84349644
0.947,18.8590708
0.948,19.87463737
0.949,20.89019616
0.95,18.90574718
0.951,18.92129042
0.952,18.93682589
0.953,18.95235359
0.954,18.96787354
0.955,20.98338572
0.956,18.99889015
0.957,20.01438683
0.958,22.02987577
0.959,19.04535696
0.96,20.06083041
0.961,21.07629613
0.962,19.09175411
0.963,19.10720437
0.964,22.12264691
0.965,19.13808173
0.966,19.15350883
0.967,19.16892822
0.968,20.1843399
0.969,22.19974388
0.97,19.21514016
0.971,19.23052874
0.972,19.24590963
0.973,22.26128284
0.974,19.27664835
0.975,19.29200619
0.976,19.30735635
0.977,22.32269883
0.978,19.33803365
0.979,19.3533608
0.98,19.36868029
0.981,19.38399212
0.982,19.3992963
0.983,22.41459283
0.984,19.42988171
0.985,19.44516295
0.986,19.46043655
0.987,19.47570251
0.988,19.49096085
0.989,20.50621155
0.99,19.52145464
0.991,22.5366901
0.992,19.55191795
0.993,19.56713818
0.994,19.58235081
0.995,19.59755583
0.996,19.61275325
0.997,19.62794308
0.998,19.64312531
0.999,19.65829996
1,19.67346701
1.001,20.68862649
1.002,19.70377839
1.003,22.71892271
1.004,19.73405947
1.005,19.74918866
1.006,19.76431028
1.007,19.77942435
1.008,19.79453086
1.009,21.80962982
1.01,19.82472123
1.011,21.8398051
1.012,19.85488142
1.013,19.86995022
1.014,22.88501148
1.015,22.90006521
1.016,22.91511141
1.017,19.9301501
1.018,21.94518126
1.019,22.96020492
1.02,19.97522106
1.021,19.9902297
1.022,20.00523083
1.023,20.02022447
1.024,21.03521061
1.025,23.05018926
1.026,21.06516042
1.027,22.0801241
1.028,20.0950803
1.029,21.11002902
1.03,21.12497027
1.031,21.13990405
1.032,22.15483037
1.033,20.16974922
1.034,20.18466062
1.035,20.19956456
1.036,20.21446105
1.037,20.2293501
1.038,20.24423171
1.039,22.25910587
1.04,22.2739726
1.041,20.2888319
1.042,22.30368377
1.043,20.31852822
1.044,20.33336524
1.045,20.34819485
1.046,21.36301705
1.047,20.37783184
1.048,21.39263922
1.049,22.4074392
1.05,23.42223178
1.051,20.43701697
1.052,20.45179477
1.053,22.46656518
1.054,20.4813282
1.055,20.49608385
1.056,22.51083212
1.057,20.52557302
1.058,21.54030655
1.059,21.55503271
1.06,20.56975152
1.061,20.58446296
1.062,20.59916705
1.063,20.6138638
1.064,20.62855319
1.065,20.64323524
1.066,23.65790996
1.067,23.67257734
1.068,20.68723738
1.069,20.7018901
1.07,21.71653549
1.071,20.73117357
1.072,20.74580432
1.073,20.76042776
1.074,20.77504389
1.075,22.78965272
1.076,20.80425424
1.077,20.81884847
1.078,20.8334354
1.079,23.84801503
1.08,20.86258738
1.081,22.87715245
1.082,20.89171023
1.083,20.90626074
1.084,20.92080397
1.085,23.93533993
1.086,22.94986863
1.087,23.96439007
1.088,22.97890424
1.089,20.99341116
1.09,22.00791083
1.091,21.02240325
1.092,22.03688843
1.093,22.05136637
1.094,21.06583707
1.095,22.08030053
1.096,21.09475677
1.097,21.10920578
1.098,23.12364756
1.099,22.13808213
1.1,21.15250948
1.101,21.16692962
1.102,21.18134255
1.103,21.19574828
1.104,21.21014681
1.105,21.22453813
1.106,22.23892227
1.107,21.25329921
1.108,23.26766897
1.109,21.28203155
1.11,21.29638694
1.111,21.31073516
1.112,21.32507621
1.113,21.33941008
1.114,22.3537368
1.115,21.36805635
1.116,21.38236874
1.117,21.39667398
1.118,21.41097207
1.119,23.42526301
1.12,21.43954681
1.121,23.45382346
1.122,21.46809299
1.123,21.48235537
1.124,21.49661063
1.125,21.51085876
1.126,23.52509977
1.127,21.53933366
1.128,24.55356044
1.129,21.56778011
1.13,22.58199266
1.131,22.59619811
1.132,21.61039647
1.133,21.62458772
1.134,21.63877188
1.135,21.65294895
1.136,21.66711893
1.137,21.68128183
1.138,22.69543765
1.139,21.70958639
1.14,21.72372807
1.141,21.73786267
1.142,21.7519902
1.143,21.76611068
1.144,21.78022409
1.145,23.79433046
1.146,21.80842976
1.147,24.82252203
1.148,21.83660724
1.149,21.85068542
1.15,21.86475656
1.151,23.87882067
1.152,21.89287774
1.153,21.90692779
1.154,21.92097081
1.155,21.93500682
1.156,21.94903581
1.157,22.96305778
1.158,21.97707275
1.159,21.99108071
1.16,22.00508167
1.161,22.01907563
1.162,22.0330626
1.163,25.04704257
1.164,22.06101556
1.165,22.07498156
1.166,22.08894058
1.167,22.10289262
1.168,22.11683768
1.169,23.13077578
1.17,22.14470691
1.171,22.15863107
1.172,22.17254828
1.173,22.18645853
1.174,22.20036182
1.175,22.21425817
1.176,22.22814757
1.177,25.24203002
1.178,23.25590554
1.179,23.26977412
1.18,22.28363576
1.181,24.29749048
1.182,22.31133827
1.183,24.32517914
1.184,22.3390131
1.185,22.35284013
1.186,22.36666026
1.187,24.38047347
1.188,23.39427978
1.189,22.40807919
1.19,23.42187171
1.191,22.43565732
1.192,22.44943605
1.193,22.46320789
1.194,22.47697284
1.195,22.49073092
1.196,22.50448211
1.197,22.51822644
1.198,24.53196389
1.199,23.54569447
1.2,23.5594182
1.201,22.57313506
1.202,25.58684506
1.203,24.60054821
1.204,22.61424451
1.205,22.62793397
1.206,23.64161658
1.207,22.65529235
1.208,24.66896129
1.209,22.68262339
1.21,22.69627867
1.211,22.70992712
1.212,25.72356874
1.213,22.73720355
1.214,22.75083154
1.215,22.76445272
1.216,22.77806709
1.217,25.79167465
1.218,22.80527541
1.219,25.81886938
1.22,22.83245655
1.221,24.84603692
1.222,22.85961051
1.223,22.87317731
1.224,22.88673733
1.225,24.90029058
1.226,22.91383704
1.227,22.92737674
1.228,22.94090967
1.229,22.95443583
1.23,23.96795523
1.231,24.98146788
1.232,24.99497377
1.233,23.00847291
1.234,26.0219653
1.235,23.03545094
1.236,23.04892985
1.237,26.06240201
1.238,23.07586745
1.239,26.08932615
1.24,26.10277812
1.241,25.11622337
1.242,23.1296619
1.243,25.14309371
1.244,26.15651881
1.245,23.16993719
1.246,26.18334887
1.247,24.19675384
1.248,23.21015212
1.249,23.22354369
1.25,23.23692857
1.251,25.25030676
1.252,23.26367827
1.253,26.27704309
1.254,23.29040123
1.255,23.30375269
1.256,23.31709747
1.257,23.33043559
1.258,26.34376704
1.259,24.35709183
1.26,23.37040995
1.261,26.38372142
1.262,25.39702623
1.263,23.41032439
1.264,23.42361591
1.265,24.43690078
1.266,23.45017901
1.267,23.4634506
1.268,26.47671556
1.269,23.48997388
1.27,25.50322558
1.271,26.51647066
1.272,24.52970911
1.273,23.54294095
1.274,23.55616617
1.275,23.56938479
1.276,26.58259679
1.277,24.59580219
1.278,26.60900099
1.279,26.62219319
1.28,23.6353788
1.281,23.64855781
1.282,23.66173024
1.283,23.67489608
1.284,24.68805535
1.285,24.70120803
1.286,26.71435414
1.287,25.72749368
1.288,23.74062665
1.289,23.75375305
1.29,24.76687289
1.291,23.77998618
1.292,23.79309291
1.293,25.80619309
1.294,23.81928672
1.295,23.8323738
1.296,25.84545434
1.297,26.85852835
1.298,23.87159582
1.299,26.88465675
1.3,25.89771116
1.301,23.91075904
1.302,23.9238004
1.303,25.93683524
1.304,25.94986357
1.305,26.96288538
1.306,25.97590069
1.307,23.98890948
1.308,26.00191178
1.309,24.01490757
1.31,24.02789687
1.311,24.04087968
1.312,26.05385599
1.313,24.06682582
1.314,24.07978917
1.315,24.09274603
1.316,24.10569642
1.317,24.11864034
1.318,26.13157778
1.319,25.14450876
1.32,24.15743328
1.321,27.17035133
1.322,24.18326293
1.323,24.19616807
1.324,24.20906676
1.325,24.221959
1.326,24.2348448
1.327,26.24772416
1.328,24.26059708
1.329,24.27346356
1.33,27.28632361
1.331,24.29917724
1.332,24.31202444
1.333,24.32486522
1.334,24.33769957
1.335,24.35052752
1.336,24.36334905
1.337,26.37616417
1.338,27.38897288
1.339,24.4017752
1.34,27.41457111
1.341,24.42736063
1.342,24.44014375
1.343,24.45292048
1.344,24.46569083
1.345,24.4784548
1.346,26.49121238
1.347,25.50396358
1.348,24.51670842
1.349,24.52944688
1.35,26.54217897
1.351,26.5549047
1.352,24.56762407
1.353,25.58033708
1.354,24.59304373
1.355,25.60574403
1.356,24.61843799
1.357,24.6311256
1.358,24.64380686
1.359,25.65648179
1.36,27.66915038
1.361,26.68181264
1.362,24.69446857
1.363,27.70711817
1.364,25.71976145
1.365,27.73239841
1.366,24.74502906
1.367,24.75765338
1.368,24.7702714
1.369,24.78288311
1.37,24.79548852
1.371,25.80808763
1.372,25.82068043
1.373,24.83326695
1.374,25.84584717
1.375,24.8584211
1.376,24.87098875
1.377,25.88355011
1.378,25.8961052
1.379,26.90865401
1.38,26.92119655
1.381,24.93373281
1.382,24.94626281
1.383,25.95878655
1.384,24.97130403
1.385,27.98381525
1.386,24.99632022
1.387,26.00881893
1.388,25.0213114
1.389,25.03379762
1.39,25.0462776
1.391,27.05875134
1.392,25.07121885
1.393,25.08368013
1.394,25.09613517
1.395,28.10858399
1.396,25.12102659
